z,P(Z≤z)_empirica,P(Z≤z)_teorica,error_absoluto
-1.270000000000056,0.102156,0.10204231507480926,0.00011368492519073237
-1.2600000000000562,0.103962,0.10383468112129024,0.000127318878709759
-1.2500000000000564,0.105729,0.10564977366684497,7.922633315503302e-05
-1.2400000000000566,0.107549,0.1074876970745764,6.130292542361193e-05
-1.2300000000000568,0.1095,0.10934855242568137,0.00015144757431863332
-1.220000000000057,0.111403,0.1112324374478238,0.00017056255217620664
-1.2100000000000573,0.113365,0.11313944644396629,0.00022555355603370852
-1.2000000000000575,0.115346,0.11506967022169717,0.0002763297783028307
-1.1900000000000577,0.117317,0.11702319602309741,0.00029380397690259574
-1.180000000000058,0.119316,0.11900010745518919,0.00031589254481081963
-1.170000000000058,0.121344,0.12100048442100653,0.00034351557899346685
-1.1600000000000583,0.123369,0.12302440305133155,0.0003445969486684519
-1.1500000000000585,0.125401,0.12507193563713814,0.00032906436286186946
-1.1400000000000587,0.127532,0.12714315056278608,0.0003888494372139284
-1.130000000000059,0.129643,0.12923811224000548,0.0004048877599945322
-1.1200000000000592,0.131724,0.1313568810427181,0.00036711895728192
-1.1100000000000594,0.1339,0.1334995132427344,0.000400486757265589
-1.1000000000000596,0.136096,0.13566606094636968,0.0004299390536303127
-1.0900000000000598,0.138285,0.13785657203202234,0.0004284279679776515
-1.08000000000006,0.140422,0.14007109008875568,0.0003509099112443126
-1.0700000000000602,0.142661,0.14230965435592563,0.00035134564407438007
-1.0600000000000604,0.144951,0.1445722996638959,0.0003787003361040986
-1.0500000000000607,0.147307,0.14685905637588198,0.00044794362411801347
-1.0400000000000609,0.149565,0.1491699503309673,0.0003950496690326988
-1.030000000000061,0.151855,0.1515050027883294,0.0003499972116705885
-1.0200000000000613,0.15419,0.15386423037272035,0.0003257696272796484
-1.0100000000000615,0.156531,0.15624764502123983,0.0002833549787601697
-1.0000000000000617,0.158997,0.1586552539314421,0.00034174606855791323
-0.9900000000000619,0.16152,0.16108705951081576,0.00043294048918424144
-0.9800000000000622,0.163952,0.16354305932767704,0.00040894067232294384
-0.9700000000000624,0.166395,0.16602324606351404,0.0003717539364859468
-0.9600000000000626,0.168933,0.1685276074668221,0.00040539253317789514
-0.9500000000000628,0.171409,0.1710561263084659,0.0003528736915341113
-0.940000000000063,0.173975,0.17360878033860838,0.0003662196613916091
-0.9300000000000632,0.176552,0.17618554224524158,0.00036645775475840914
-0.9200000000000634,0.179148,0.17878637961435512,0.0003616203856448841
-0.9100000000000636,0.18177,0.1814112548917805,0.0003587451082194826
-0.9000000000000639,0.184417,0.1840601253467425,0.00035687465325751067
-0.8900000000000641,0.187145,0.18673294303715543,0.0004120569628445758
-0.8800000000000643,0.189783,0.1894296547766947,0.00035334522330529583
-0.8700000000000645,0.19255,0.1921502021036786,0.0003997978963213855
-0.8600000000000647,0.195349,0.19489452125179052,0.00045447874820947476
-0.8500000000000649,0.198174,0.19766254312267428,0.0005114568773257056
-0.8400000000000651,0.20093,0.2004541932604314,0.0004758067395685961
-0.8300000000000654,0.20382,0.20326939182804993,0.0005506081719500733
